Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
A Microservices Architecture for Reactive and Proactive Fault Tolerance in IoT Systems,A. Power; G. Kotonya,Lancaster University; School of Computing and Communications; Lancaster; United Kingdom; Lancaster University; School of Computing and Communications; Lancaster; United Kingdom,2018 IEEE 19th International Symposium on A World of Wireless," Mobile and Multimedia Networks"" (WoWMoM)""",,2018,,,588,599,,,,10.1109/WoWMoM.2018.8449789,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449789,internet of things;fault tolerance;microservices;complex event processing;machine learning,Internet of Things;Fault tolerance;Fault tolerant systems;Real-time systems;Intelligent sensors;Computer architecture,,,,,,,,,,,IEEE,IEEE Conferences
Distributed Systems of Microservices Using Docker and Serfnode,J. Stubbs; W. Moreira; R. Dooley,NA; NA; NA,2015 7th International Workshop on Science Gateways,,2015,,,34,39,,,,10.1109/IWSG.2015.16,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7217926,distributed;containers;microservices,Containers;Monitoring;Computer architecture;Servers;Synchronization;Protocols;Complexity theory,public domain software;service-oriented architecture;software packages,distributed systems;microservices architectures;Serf node;decentralized open source solution;service discovery problem;nonintrusive Docker image;arbitrary Docker containers;service discovery mechanisms;file system synchronization solution,,,,,,,,,IEEE,IEEE Conferences,
TheArchitect: A Serverless-Microservices Based High-level Architecture Generation Tool,K. J. P. G. Perera; I. Perera,Department of Computer Science and Engineering; University Of Moratuwa; Katubedda; Sri Lanka; Department of Computer Science and Engineering; University Of Moratuwa; Katubedda; Sri Lanka,2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,204,210,,,,10.1109/ICIS.2018.8466390,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466390,Software Architecture;Microservices Architecture;Serverless Architecture,Computer architecture;Software;Calculators;Data models;Databases;Tools;Architecture,software architecture,business operations;software system;high-level software architecture;software developer;software engineering community shift;serverless based technologies;TheArchitect tool;serverless-microservices based high-level architecture generation tool,,,,,,,,,IEEE,IEEE Conferences,
Microservices: Building Blocks to New Workflows and Virtualization,D. Gallipeau; S. Kudrle,NA; NA,SMPTE Motion Imaging Journal,,2018,127,4,21,31,,,,10.5594/JMI.2018.2811599,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8352889,Containers;COTS;Docker;microservices;next-generation architecture;SOA;virtual machine (VM);virtualization,,,,,,,,,,,,SMPTE,SMPTE Journals & Magazines,
Processes; Motivations; and Issues for Migrating to Microservices Architectures: An Empirical Investigation,D. Taibi; V. Lenarduzzi; C. Pahl,Free University of Bozen-Bolzano; Free University of Bozen-Bolzano; Free University of Bozen-Bolzano,IEEE Cloud Computing,,2017,4,5,22,32,,,,10.1109/MCC.2017.4250931,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125558,microservices;cloud native;cloud migration;cloud computing;cloud containers;Docker;service oriented architectures SOA,Companies;Computer architecture;Cloud computing;Scalability;Investment;Maintenance engineering,software architecture;Web services,microservice architectures;return on investment;nontechnical motivation;technical motivations;scalability motivation;maintainability motivation;migration processes,,,,,,,,,IEEE,IEEE Journals & Magazines,
Location and Context-Based Microservices for Mobile and Internet of Things Workloads,P. Bak; R. Melamed; D. Moshkovich; Y. Nardi; H. Ship; A. Yaeli,NA; NA; NA; NA; NA; NA,2015 IEEE International Conference on Mobile Services,,2015,,,1,8,,,,10.1109/MobServ.2015.11,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7226665,location-based services;context-based services;maps;triggers;anomaly detection;IoT;microservices,Mobile communication;Data visualization;Business;Context;Image color analysis;Geospatial analysis,cloud computing;Internet of Things;mobile computing,location microservices;context-based microservices;mobile workloads;Internet of Things workloads;user context;mobile applications;user experience;customer value;cloud microservices;location applications;context-based applications;visualization;analytics microservices;business insights;operational insights,,,,,,,,,IEEE,IEEE Conferences,
Microservices in IoT clouds,K. Vandikas; V. Tsiatsis,Management and Operations of Complex Systems; Ericsson Research; Kista; Sweden; Management and Operations of Complex Systems; Ericsson Research; Kista; Sweden,2016 Cloudification of the Internet of Things (CIoT),,2016,,,1,6,,,,10.1109/CIOT.2016.7872912,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7872912,,,cloud computing;Internet of Things;public domain software;software performance evaluation,Internet of Things technology;performance evaluation;IoT cloud infrastructure;microservice application server;JVM-based MASs;memory footprint;binary footprint;open-source testbed,,,,,,,,,IEEE,IEEE Conferences,
Authentication and authorization orchestrator for microservice-based software architectures,A. Bánáti; E. Kail; K. Karóczkai; M. Kozlovszky,Óbuda University; John von Neumann Faculty of Informatics; Biotech Lab Bécsi str. 96/b.; H-1034; Budapest; Hungary; Óbuda University; John von Neumann Faculty of Informatics; Biotech Lab Bécsi str. 96/b.; H-1034; Budapest; Hungary; Óbuda University; John von Neumann Faculty of Informatics; Biotech Lab Bécsi str. 96/b.; H-1034; Budapest; Hungary; Óbuda University; John von Neumann Faculty of Informatics; Biotech Lab Bécsi str. 96/b.; H-1034; Budapest; Hungary,2018 41st International Convention on Information and Communication Technology; Electronics and Microelectronics (MIPRO),,2018,,,1180,1184,,,,10.23919/MIPRO.2018.8400214,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8400214,authentication;authorization;microservice architecture,Authentication;Authorization;Standards,application program interfaces;authorisation;cloud computing;cryptography;Java;software architecture,microservice-based software architectures;IT solutions;intensive user activities;well-scalable distributed solutions;software technology point;classical monolithic architectures;authorization processes;JSON Web Token;authorization orchestrator service,,,,,,,,,IEEE,IEEE Conferences,
Functionality-Oriented Microservice Extraction Based on Execution Trace Clustering,W. Jin; T. Liu; Q. Zheng; D. Cui; Y. Cai,NA; NA; NA; NA; NA,2018 IEEE International Conference on Web Services (ICWS),,2018,,,211,218,,,,10.1109/ICWS.2018.00034,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456351,microservice; executing trace; quality metrics,Software;Measurement;Business;Monitoring;Couplings;Skeleton;Systematics,pattern clustering;program diagnostics;public domain software;software architecture;software maintenance;software metrics,execution trace clustering;Functional Independence;functional cohesion;microservice candidates;open-source projects;service cohesion;group source code entities;source code analysis;program dynamic behavior;functionality-oriented microservice extraction method;code-level;software structure analysis;specific functionalities;candidate microservices;monolithic software;software entities,,,,,,,,,IEEE,IEEE Conferences,
Infrastructure Cost Comparison of Running Web Applications in the Cloud Using AWS Lambda and Monolithic and Microservice Architectures,M. Villamizar; O. Garcés; L. Ochoa; H. Castro; L. Salamanca; M. Verano; R. Casallas; S. Gil; C. Valencia; A. Zambrano; M. Lang,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,2016 16th IEEE/ACM International Symposium on Cluster; Cloud and Grid Computing (CCGrid),,2016,,,179,182,,,,10.1109/CCGrid.2016.37,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515686,cloud computing;microservices;service oriented architectures;scalable applications;software engineering;software architecture;microservice architecture;AWS Lambda;Amazon Web Services,Computer architecture;Service-oriented architecture;Cloud computing;Companies;Time factors;Logic gates,cloud computing;software architecture;Web services,infrastructure cost comparison;Web applications;AWS lambda;Internet companies;Amazon;Netflix;LinkedIn;microservice architecture pattern;monolithic architecture;cloud customer;cloud provider;cloud computing;Web service;software architecture,,,,,,,,,IEEE,IEEE Conferences,
Microservices approach for the internet of things,B. Butzin; F. Golatowski; D. Timmermann,Institute of Applied Microelectronics and Computer Engineering; University of Rostock; Germany; Institute of Applied Microelectronics and Computer Engineering; University of Rostock; Germany; Institute of Applied Microelectronics and Computer Engineering; University of Rostock; Germany,2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),,2016,,,1,6,,,,10.1109/ETFA.2016.7733707,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733707,internet of things;microservices;patterns;best practices;distributed services;service oriented architecture,,Internet of Things;service-oriented architecture,Internet of Things;cloud domain;enterprise application business;software maintainability;software scalability;microservice architecture;service oriented architecture;software virtualization;distributed services;value added services;IoT heterogeneity;microservices requirements,,,,,,,,,IEEE,IEEE Conferences,
Certified multimedia statement with WebRTC and microservices,A. Bouabdallah; S. El Jaouhari,Institut Mines-Telecom / TELECOM Bretagne; Network; Security and Multimedia department; Site of Rennes; FRANCE; Institut Mines-Telecom / TELECOM Bretagne; Network; Security and Multimedia department; Site of Rennes; FRANCE,2016 Asia Pacific Conference on Multimedia and Broadcasting (APMediaCast),,2016,,,47,52,,,,10.1109/APMediaCast.2016.7878170,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7878170,,WebRTC;Multimedia communication;Digital multimedia broadcasting;Asia;Security,multimedia communication,certified multimedia statement;WebRTC;microservices;generic character;remote multimedia;dynamic ecosystem,,,,,,,,,IEEE,IEEE Conferences,
Container-based microservice architecture for cloud applications,V. Singh; S. K. Peddoju,Department of Computer Science &amp; Engineering; Indian Institute of Technology Roorkee; Roorkee; India; Department of Computer Science &amp; Engineering; Indian Institute of Technology Roorkee; Roorkee; India,2017 International Conference on Computing; Communication and Automation (ICCCA),,2017,,,847,852,,,,10.1109/CCAA.2017.8229914,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8229914,Microservice Design;Monolithic Design;Cloud Computing;Virtualization;Containers;Application Scaling;Docker,Containers;Servers;Cloud computing;Virtualization;Companies;Computer architecture;Social network services,cloud computing;social networking (online);virtual machines,cloud environment;virtual machines;container-based microservice architecture;microservice-based application;VM;social networking application;docker containers;microservice design results;single code base;monolithic design;loosely coupled services;granular approach;cloud application development;microservice architecture,,,,,,,,,IEEE,IEEE Conferences,
Policy enforcement upon software based on microservice architecture,T. Asik; Y. E. Selcuk,Computer Engineering Department; Yildiz Technical University; Istanbul; Turkey; Computer Engineering Department; Yildiz Technical University; Istanbul; Turkey,2017 IEEE 15th International Conference on Software Engineering Research; Management and Applications (SERA),,2017,,,283,287,,,,10.1109/SERA.2017.7965739,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965739,Microservice architecture;software metrics;software policies;software quality;static analysis tool,Tools;Computer architecture;Software quality;Software measurement;Size measurement,program testing;software architecture;software maintenance;software metrics,policy enforcement;microservice architecture;scalable applications;language free applications;dynamically adjustable applications;software management;software monitoring;software refactoring;software testing;automated tools;software metrics,,,,,,,,,IEEE,IEEE Conferences,
